epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.22508,0,39.8629,0,0,0,0,0,0,28.4375,0,4e-05,4e-05,4e-05
2,6.80453,0,39.8463,0,0,0,0,0,0,28.4375,0,9.901e-05,9.901e-05,9.901e-05
3,7.33337,0,39.7971,0,0,0,0,0,0,28.4375,0,0.000156832,0.000156832,0.000156832
4,7.89905,0,38.5985,0,0,0,0,0,0,28.4375,0,0.000213466,0.000213466,0.000213466
5,8.47618,0,37.3419,0,0,0,0,0,0,28.4375,0,0.000268912,0.000268912,0.000268912
6,9.12786,0,35.4592,0,0,0,0,0,0,28.4375,0,0.00032317,0.00032317,0.00032317
7,9.70855,0,34.218,0,0,0,0,0,0,28.4375,0,0.00037624,0.00037624,0.00037624
8,10.2657,0,32.735,0,0,0,0,0,0,28.4375,0,0.000428122,0.000428122,0.000428122
9,10.8441,0,31.5846,0,0,0,0,0,0,28.5586,0,0.000478816,0.000478816,0.000478816
10,11.3847,0,30.2621,0,0,0,0,0,0,28.4609,0,0.000528322,0.000528322,0.000528322
11,11.9429,0,30.4926,0,0,0,0,0,0,28.9844,0,0.00057664,0.00057664,0.00057664
12,12.4885,0,28.5571,0,0,0,0,0,0,29.1602,0,0.00062377,0.00062377,0.00062377
13,13.0448,0,27.7342,0,0,0,0,0,0,98.8906,0,0.000669712,0.000669712,0.000669712
14,13.5739,0,27.1558,0,0,0,0,0,0,389.375,0,0.000714466,0.000714466,0.000714466
15,14.1356,0,26.5187,0,0,0,0,0,0,95.9375,0,0.000758032,0.000758032,0.000758032
16,14.6937,0,25.6128,0,0,0,0,0,0,59.7969,0,0.00080041,0.00080041,0.00080041
17,15.2538,0,24.9678,0,0,0,0,0,0,37.8672,0,0.0008416,0.0008416,0.0008416
18,15.7664,0,24.8002,0,0,0,0,0,0,23.9609,0,0.000881602,0.000881602,0.000881602
19,16.335,0,24.7984,0,0,0,0,0,0,14.6719,0,0.000920416,0.000920416,0.000920416
20,16.8763,0,24.2877,0,0,0,0,0,0,12.8008,0,0.000958042,0.000958042,0.000958042
21,17.4119,0,23.7236,0,0,0,0,0,0,12.0234,0,0.00099448,0.00099448,0.00099448
22,17.9601,0,23.6703,0,0,0,0,0,0,12.2383,0,0.00102973,0.00102973,0.00102973
23,18.4942,0,23.356,0,0,0,0,0,0,9.68945,0,0.00106379,0.00106379,0.00106379
24,19.0148,0,23.557,0,0,0,0,0,0,8.10059,0,0.00109667,0.00109667,0.00109667
25,19.5424,0,22.6658,0,0,0,0,0,0,6.83594,0,0.00112835,0.00112835,0.00112835
26,20.0964,0,22.3816,0,0,0,0,0,0,6.13086,0,0.00115885,0.00115885,0.00115885
27,20.6695,0,21.8401,0,0,0,0,0,0,5.02051,0,0.00118816,0.00118816,0.00118816
28,21.1771,0,21.5229,0,0,0,0,0,0,4.46875,0,0.00121628,0.00121628,0.00121628
29,21.676,0,21.1002,0,0,0,0,0,0,4.46875,0,0.00124322,0.00124322,0.00124322
30,22.213,0,20.8352,0,0,0,0,0,0,5.18848,0,0.00126896,0.00126896,0.00126896
31,22.7287,0,20.5802,0,0,0,0,0,0,4.9209,0,0.00129352,0.00129352,0.00129352
32,23.2708,0,20.1982,0,0,0,0,0,0,4.23633,0,0.00131689,0.00131689,0.00131689
33,23.7601,0,19.8161,0,0,0,0,0,0,4.23633,0,0.00133907,0.00133907,0.00133907
34,24.2658,0,19.5425,0,0,0,0,0,0,6.11816,0,0.0013466,0.0013466,0.0013466
35,24.8171,0,19.267,0,0,0,0,0,0,6.05664,0,0.0013268,0.0013268,0.0013268
36,25.3626,0,19.3658,0,0,0,0,0,0,7.02246,0,0.001307,0.001307,0.001307
37,25.87,0,18.8751,0,0,0,0,0,0,7.02246,0,0.0012872,0.0012872,0.0012872
38,26.412,0,18.655,0,0,0,0,0,0,6.79004,0,0.0012674,0.0012674,0.0012674
39,26.9791,0,18.4762,0,0,0,0,0,0,4.85352,0,0.0012476,0.0012476,0.0012476
40,27.5051,0,19.1533,0,0,0,0,0,0,5.05469,0,0.0012278,0.0012278,0.0012278
41,28.0165,0,18.1118,0,0,0,0,0,0,5.05469,0,0.001208,0.001208,0.001208
42,28.5702,0,18.2971,0,0,0,0,0,0,4.96875,0,0.0011882,0.0011882,0.0011882
43,29.0972,0,17.717,0,0,0,0,0,0,4.99316,0,0.0011684,0.0011684,0.0011684
44,29.6123,0,17.5876,0,0,0,0,0,0,4.61621,0,0.0011486,0.0011486,0.0011486
45,30.1009,0,17.328,0,0,0,0,0,0,4.61621,0,0.0011288,0.0011288,0.0011288
46,30.6277,0,17.1185,0,0,0,0,0,0,2.93555,0,0.001109,0.001109,0.001109
47,31.1321,0,16.914,0,0,0,0,0,0,5.50195,0,0.0010892,0.0010892,0.0010892
48,31.6463,0,16.6529,0,0,0,0,0,0,4.46387,0,0.0010694,0.0010694,0.0010694
49,32.1432,0,16.3858,0,0,0,0,0,0,4.46387,0,0.0010496,0.0010496,0.0010496
50,32.6945,0,16.1837,0,0,0,0,0,0,4.49121,0,0.0010298,0.0010298,0.0010298
51,33.2244,0,15.9886,0,0,0,0,0,0,6.71484,0,0.00101,0.00101,0.00101
52,33.7897,0,15.7373,0,0,0,0,0,0,7.21094,0,0.0009902,0.0009902,0.0009902
53,34.2919,0,15.4328,0,0,0,0,0,0,7.21094,0,0.0009704,0.0009704,0.0009704
54,34.8409,0,15.3021,0,0,0,0,0,0,7.28906,0,0.0009506,0.0009506,0.0009506
55,35.3787,0,15.1483,0,0,0,0,0,0,7.51562,0,0.0009308,0.0009308,0.0009308
56,35.9267,0,14.9445,0,0,0,0,0,0,4.4668,0,0.000911,0.000911,0.000911
57,36.4327,0,14.6834,0,0,0,0,0,0,4.4668,0,0.0008912,0.0008912,0.0008912
58,36.9645,0,14.5347,0,0,0,0,0,0,4.15137,0,0.0008714,0.0008714,0.0008714
59,37.4813,0,14.3752,0,0,0,0,0,0,4.15918,0,0.0008516,0.0008516,0.0008516
60,38.0201,0,14.1792,0,0,0,0,0,0,4.09863,0,0.0008318,0.0008318,0.0008318
61,38.5413,0,13.998,0,0,0,0,0,0,4.09863,0,0.000812,0.000812,0.000812
62,39.0662,0,13.8546,0,0,0,0,0,0,4.0625,0,0.0007922,0.0007922,0.0007922
63,39.6125,0,13.749,0,0,0,0,0,0,4.13379,0,0.0007724,0.0007724,0.0007724
64,40.1757,0,13.5769,0,0,0,0,0,0,4.35254,0,0.0007526,0.0007526,0.0007526
65,40.7084,0,13.3813,0,0,0,0,0,0,4.35254,0,0.0007328,0.0007328,0.0007328
66,41.2521,0,13.2497,0,0,0,0,0,0,3.68359,0,0.000713,0.000713,0.000713
67,41.7909,0,13.1044,0,0,0,0,0,0,4.32422,0,0.0006932,0.0006932,0.0006932
68,42.2993,0,12.9825,0,0,0,0,0,0,4.0625,0,0.0006734,0.0006734,0.0006734
69,42.7896,0,12.8214,0,0,0,0,0,0,4.0625,0,0.0006536,0.0006536,0.0006536
70,43.2988,0,12.7134,0,0,0,0,0,0,4.0625,0,0.0006338,0.0006338,0.0006338
71,43.8136,0,12.5876,0,0,0,0,0,0,4.0625,0,0.000614,0.000614,0.000614
72,44.3482,0,12.5082,0,0,0,0,0,0,4.0625,0,0.0005942,0.0005942,0.0005942
73,44.8701,0,12.3341,0,0,0,0,0,0,4.0625,0,0.0005744,0.0005744,0.0005744
74,45.4062,0,12.2294,0,0,0,0,0,0,4.0625,0,0.0005546,0.0005546,0.0005546
75,45.9454,0,12.1526,0,0,0,0,0,0,4.0625,0,0.0005348,0.0005348,0.0005348
76,46.4734,0,12.0365,0,0,0,0,0,0,4.0625,0,0.000515,0.000515,0.000515
77,47.0206,0,11.906,0,0,0,0,0,0,4.0625,0,0.0004952,0.0004952,0.0004952
